Line_descr;Line_encoding;Category
300-ΠΛ.ΚΑΡΑΪΣΚΑΚΗ-ΤΖΑΝΕΙΟ(ΚΥΚΛΙΚΗ);150;0
302-ΣΤ.ΔΟΥΚ.ΠΛΑΚΕΝΤΙΑΣ-ΓΕΡΑΚΑΣ(ΚΥΚΛΙΚΗ);40;2
4-ΑΝΩΚΥΨΕΛΗ-ΑΓ.ΑΡΤΕΜΙΟΣ-ΣΤ.ΑΓ.ΙΩΑΝΝΗΣ;194;1
402-ΣΤ.ΚΑΤΕΧΑΚΗ-ΠΟΛΥΔΡΟΣΟ;41;2
405-ΣΤ.ΧΑΛΑΝΔΡΙ-ΜΕΛΙΣΣΙΑ(ΚΥΚΛΙΚΗ);42;2
406-ΠΕΥΚΑΚΙΑ-ΣΤ.ΔΟΥΚ.ΠΛΑΚΕΝΤΙΑΣ-ΣΤ.ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ(ΚΥΚΛΙΚΗ);218;2
407-ΣΤ.ΔΟΥΚ.ΠΛΑΚΕΝΤΙΑΣ-Ν.ΖΩH-ΣΤ.ΝΟΜΙΣΜΑΤΟΚΟΠΕΙΟ(ΚΥΚΛΙΚΗ);220;2
409-ΠΑΠΑΓΟΥ-ΣΤ.ΕΘΝ.ΑΜΥΝΑ(ΚΥΚΛΙΚΗ);45;2
410-Ο.Α.Κ.Α.-ΑΝΩΜΕΛΙΣΣΙΑ(ΚΥΚΛΙΚΗ);46;2
411-ΣΤ.ΔΟΥΚ.ΠΛΑΚΕΝΤΙΑΣ-ΣΙΣΜΑΝΟΓΛΕΙΟ-ΧΑΛΑΝΔΡΙ(ΚΥΚΛΙΚΗ);47;2
416-ΣΤ.ΕΘΝ.ΑΜΥΝΑΣ-ΧΟΛΑΡΓΟΣ(ΚΥΚΛΙΚΗ);48;2
418-ΣΤ.ΕΘΝΙΚΗΣΑΜΥΝΑΣ-ΣΧΟΛ.ΧΟΛΑΡΓΟΥ(ΚΥΚΛΙΚΗ);151;2
420-ΠΕΙΡΑΙΑΣ-ΑΓ.ΑΝΑΡΓΥΡΟΙ(ΜΕΣΩΚΗΦΙΣΟΥ);49;4
421-ΑΓ.ΑΝΑΡΓΥΡΟΙ-ΑΓ.ΠΑΡΑΣΚΕΥΗ;50;4
444-ΣΤ.ΕΙΡΗΝΗ-ΓΑΛΑΤΣΙ-ΣΤ.ΑΝΩΠΑΤΗΣΙΑ(ΚΥΚΛΙΚΗ);152;4
446-ΣΤ.ΑΜΑΡΟΥΣΙΟΥ-ΝΟΣΟΚ.ΠΕΝΤΕΛΗΣ(ΜΕΣΩΠΙΚΠΑ);51;2
447-ΧΑΛΑΝΔΡΙ-ΑΝΩΒΡΙΛΗΣΣΙΑ;52;2
450-ΣΤ.ΧΑΛΑΝΔΡΙ-ΧΑΛΑΝΔΡΙ-Ν.ΠΕΝΤΕΛΗ;53;2
451-ΣΤ.ΧΑΛΑΝΔΡΙ-Ν.ΠΕΝΤΕΛΗ-ΧΑΛΑΝΔΡΙ(ΚΥΚΛΙΚΗ);54;2
460-ΣΤ.ΧΑΛΑΝΔΡΙ-ΧΑΛΑΝΔΡΙ-Π.ΠΕΝΤΕΛΗ;55;2
461-ΣΤ.ΧΑΛΑΝΔΡΙ-Π.ΠΕΝΤΕΛΗ-ΧΑΛΑΝΔΡΙ(ΚΥΚΛΙΚΗ);56;2
5-ΛΑΜΠΡΙΝΗ-ΠΛ.ΣΥΝΤΑΓΜΑΤΟΣ-ΤΖΙΤΖΙΦΙΕΣ;58;1
500-ΠΕΙΡΑΙΑΣ-ΚΗΦΙΣΙΑ(ΠΛ.ΠΛΑΤΑΝΟΥ)(ΝΥΧΤΕΡΙΝΗ);223;5
501-ΠΕΥΚΗ-ΜΑΡΟΥΣΙ(ΚΥΚΛΙΚΗ);195;2
522-ΣΤΑΘΜΟΣΚΗΦΙΣΙΑΣ-ΑΔΑΜΕΣΑ(ΚΥΚΛΙΚΗ);59;2
523-ΣΤΑΘΜΟΣΚΗΦΙΣΙΑΣ-ΑΔΑΜΕΣΒ(ΚΥΚΛΙΚΗ);60;2
524-ΣΤΑΘΜΟΣΚΗΦΙΣΙΑΣ-ΠΟΛΙΤΕΙΑ(ΚΥΚΛΙΚΗ);61;2
526-ΣΤΑΘΜΟΣΚΗΦΙΣΙΑΣ-ΚΕΦΑΛΑΡΙ(ΚΥΚΛΙΚΗ);62;2
527-ΠΕΥΚΗ-ΝΕΡΑΤΖΙΩΤΙΣΣΑ(ΚΥΚΛΙΚΗ);202;2
530-ΣΤΑΘΜΟΣΚΗΦΙΣΙΑΣ-ΜΕΛΙΣΣΙΑ-Ν.ΠΕΝΤΕΛΗ;63;2
541-ΜΕΤΑΜΟΡΦΩΣΗ-ΣΤ.ΑΜΑΡΟΥΣΙΟΥ(ΚΥΚΛΙΚΗ);64;2
550-Π.ΦΑΛΗΡΟ-ΚΗΦΙΣΙΑ;65;4
560-ΣΤ.ΚΗΦΙΣΙΑ-ΜΟΡΤΕΡΟ-Ν.ΕΡΥΘΡΑΙΑ;203;2
6-ΙΠΠΟΚΡΑΤΟΥΣ-ΚΟΣΜΑΣΑΙΤΩΛΟΣ-Ν.ΦΙΛΑΔΕΛΦΕΙΑ;66;0
602-Ν.ΙΩΝΙΑ-ΚΑΛΟΓΡΕΖΑ-ΣΤΑΘ.ΠΑΝΟΡΜΟΥ(ΚΥΚΛΙΚΗ);154;2
604-ΝΟΣ.ΑΓ.ΑΝΑΡΓΥΡΟΙ-ΣΤ.ΜΕΤΑΜΟΡΦΩΣΗΣ-ΝΕΑΙΩΝΙΑ(ΚΥΚΛΙΚΗ);155;2
605-ΠΕΡΙΣΣΟΣ-ΑΝΩΠΑΤΗΣΙΑ(ΚΥΚΛΙΚΗ);67;2
608-ΓΑΛΑΤΣΙ-ΑΚΑΔΗΜΙΑ-ΝΕΚΡ.ΖΩΓΡΑΦΟΥ;68;1
610-ΦΙΛΟΘΕΗ-ΑΜΠΕΛΟΚΗΠΟΙ(ΚΥΚΛΙΚΗ);69;2
619-ΜΕΤΑΜΟΡΦΩΣΗ-Ν.ΦΙΛΑΔΕΛΦΕΙΑ-ΣΤ.ΑΝΩΠΑΤΗΣΙΑ(ΚΥΚΛΙΚΗ);198;2
622-ΓΟΥΔΗ-ΑΝΩΓΑΛΑΤΣΙ;70;1
640-ΤΟΠΙΚΗΗΡΑΚΛΕΙΟΥ(ΚΥΚΛΙΚΗ);71;2
642-ΗΡΑΚΛΕΙΟ-ΑΓ.ΝΕΚΤΑΡΙΟΣ-ΠΕΥΚΗ(ΚΥΚΛΙΚΗ);156;2
651-ΨΥΧΙΚΟ-ΠΑΝΟΡΜΟΥΑ(ΚΥΚΛΙΚΗ);72;2
653-ΨΥΧΙΚΟ-ΠΑΝΟΡΜΟΥΒ(ΚΥΚΛΙΚΗ);212;2
700-ΠΕΤΡΟΥΠΟΛΗ(ΑΓ.ΤΡΙΑΔΑ)-ΣΤ.ΑΝΘΟΥΠΟΛΗ(ΚΥΚΛΙΚΗ);157;2
701-ΚΑΜΑΤΕΡΟ-ΙΛΙΟΝ-ΣΤ.ΑΝΘΟΥΠΟΛΗ(ΚΥΚΛΙΚΗ);73;2
702-ΤΟΠΙΚΗΚΑΜΑΤΕΡΟΥ(ΣΧΟΛΙΚΗ)(ΚΥΚΛΙΚΗ);331;5
