stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
10024,10024,ΑΓ. ΒΑΡΒΑΡΑ,37.9953734,23.6620724,http://telematics.oasa.gr/#stationInfo_10024
10025,10025,ΚΟΛΩΝΕΣ,37.9966212,23.6635017,http://telematics.oasa.gr/#stationInfo_10025
100256,100256,ΟΡΧΟΜΕΝΟΥ,38.0866044,23.70722,http://telematics.oasa.gr/#stationInfo_100256
100257,100257,ΑΡΗ ΒΕΛΟΥΧΙΩΤΗ,38.0819674,23.698299,http://telematics.oasa.gr/#stationInfo_100257
100258,100258,ΚΟΛΥΜΒΗΤΗΡΙΟ,38.0778932,23.7088624,http://telematics.oasa.gr/#stationInfo_100258
100259,100259,ΑΙΓΑΙΟΥ ΠΕΛΑΓΟΥΣ,38.0749631,23.7072062,http://telematics.oasa.gr/#stationInfo_100259
10026,10026,ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,37.9985628,23.6652875,http://telematics.oasa.gr/#stationInfo_10026
100260,100260,ΚΟΛΥΜΒΗΤΗΡΙΟ,38.077876,23.7091703,http://telematics.oasa.gr/#stationInfo_100260
10028,10028,ΣΤΡΟΦΗ ΑΓ.ΒΑΡΒΑΡΑΣ,37.9989327,23.6649604,http://telematics.oasa.gr/#stationInfo_10028
10029,10029,ΙΚΑ,37.9925189,23.6598419,http://telematics.oasa.gr/#stationInfo_10029
10030,10030,ΑΓ. ΕΛΕΟΥΣΑ - ΣΤ. ΑΓ. ΒΑΡΒΑΡΑ,37.9907146,23.659258,http://telematics.oasa.gr/#stationInfo_10030
10031,10031,28ης ΟΚΤΩΒΡΙΟΥ,37.9956631,23.6631004,http://telematics.oasa.gr/#stationInfo_10031
10032,10032,ΒΕΝΕΤΙΑ,37.9860416,23.6577651,http://telematics.oasa.gr/#stationInfo_10032
10036,10036,ΙΚΑ,37.9927727,23.6603532,http://telematics.oasa.gr/#stationInfo_10036
10037,10037,5η ΚΟΡΥΔΑΛΛΟΥ,37.9894746,23.6637052,http://telematics.oasa.gr/#stationInfo_10037
10040,10040,6η ΚΟΡΥΔΑΛΛΟΥ,37.9890923,23.6623745,http://telematics.oasa.gr/#stationInfo_10040
10041,10041,7η ΚΟΡΥΔΑΛΛΟΥ,37.9884193,23.6602708,http://telematics.oasa.gr/#stationInfo_10041
10042,10042,6η ΚΟΡΥΔΑΛΛΟΥ,37.9889219,23.6626714,http://telematics.oasa.gr/#stationInfo_10042
10043,10043,5η ΚΟΡΥΔΑΛΛΟΥ,37.989331,23.6639222,http://telematics.oasa.gr/#stationInfo_10043
10044,10044,ΜΑΡΙΝΟΥ ΑΝΤΥΠΑ,37.9870267,23.6649576,http://telematics.oasa.gr/#stationInfo_10044
10045,10045,ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,37.9856451,23.6608758,http://telematics.oasa.gr/#stationInfo_10045
10046,10046,ΠΛ. ΜΑΚΡΥΓΙΑΝΝΗ,37.9853839,23.6609339,http://telematics.oasa.gr/#stationInfo_10046
