veh_no,vehtyp_code,vehtyp_capacity,vehtyp_full_limit
10142,4,59,56
10143,4,59,56
10144,4,59,56
10145,4,59,56
10146,4,59,56
10147,4,59,56
10148,4,59,56
10149,4,59,56
10150,4,59,56
10151,4,59,56
10152,4,59,56
10153,4,59,56
10154,4,59,56
10155,4,59,56
10156,4,59,56
10157,4,59,56
10158,4,59,56
10159,4,59,56
10160,4,59,56
10161,4,59,56
10162,4,59,56
10163,4,59,56
10164,4,59,56
10165,4,59,56
10166,4,59,56
10167,4,59,56
10168,4,59,56
10169,4,59,56
10170,4,59,56
10171,4,59,56
10172,4,59,56
10173,4,59,56
10174,4,59,56
10175,4,59,56
10176,4,59,56
10177,4,59,56
10178,4,59,56
10179,4,59,56
10180,4,59,56
10181,4,59,56
10182,4,59,56
10183,4,59,56
10192,4,59,56
10219,4,59,56
200603,4,59,56
200654,4,59,56
30601,4,59,56
30603,4,59,56
30604,4,59,56
30605,4,59,56
30606,4,59,56
30618,4,59,56
30619,4,59,56
30620,4,59,56
30622,4,59,56
30623,4,59,56
30624,4,59,56
30625,4,59,56
30626,4,59,56
30627,4,59,56
30628,4,59,56
30629,4,59,56
30630,4,59,56
30631,4,59,56
30632,4,59,56
30633,4,59,56
30634,4,59,56
30635,4,59,56
30636,4,59,56
30637,4,59,56
30638,4,59,56
30639,4,59,56
30640,4,59,56
30641,4,59,56
30642,4,59,56
30644,4,59,56
30645,4,59,56
30646,4,59,56
30648,4,59,56
30649,4,59,56
30651,4,59,56
30652,4,59,56
30653,4,59,56
30654,4,59,56
30655,4,59,56
30656,4,59,56
30657,4,59,56
30658,4,59,56
30659,4,59,56
30660,4,59,56
30661,4,59,56
30662,4,59,56
30664,4,59,56
30665,4,59,56
30667,4,59,56
30668,4,59,56
30669,4,59,56
30670,4,59,56
30671,4,59,56
30672,4,59,56
30680,4,59,56
70177,4,59,56
70184,4,59,56
70185,4,59,56
70186,4,59,56
70187,4,59,56
70188,4,59,56
70189,4,59,56
70190,4,59,56
70191,4,59,56
70193,4,59,56
70194,4,59,56
70195,4,59,56
70196,4,59,56
70197,4,59,56
70198,4,59,56
70199,4,59,56
70200,4,59,56
70201,4,59,56
