Line_descr,Line_encoding,Direction,Stop_id,Stop_encoding,Stop_order,Stop_descr,Stop_lat,Stop_lon
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60543,49,4,ΦΙΛΟΤΙΜΟΥ,38.0017553,23.7445981
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60544,50,5,ΣΚΥΡΟΥ,37.9994605,23.7420776
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,61120,81,5,ΓΕΦΥΡΕΣ,37.9659396,23.7051577
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,61121,82,6,ΑΡΙΣΤΟΒΟΥΛΟΥ,37.9685012,23.7069457
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60545,51,6,ΖΑΚΥΝΘΟΥ,37.9979065,23.7403291
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60546,52,7,ΛΕΥΚΑΔΟΣ,37.9960647,23.7388777
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,61122,83,7,ΑΓ. ΑΙΚΑΤΕΡΙΝΗ,37.9703484,23.7079579
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,61123,84,8,ΜΠΡΑΒΟ,37.9732605,23.7095056
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60547,53,8,ΣΧΟΛΗ ΕΥΕΛΠΙΔΩΝ,37.9953843,23.7407141
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,61345,85,9,ΙΚΑ,37.9748196,23.7111373
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60057,54,9,ΒΡΑΙΛΑ,37.9913892,23.7398851
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60372,86,10,ΙΔΡ. ΜΕΛ. ΜΕΡΚΟΥΡΗ,37.9768834,23.7138339
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60058,55,10,ΠΑΡΚΟ,37.9908629,23.7382584
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60059,76,10,ΜΕΤΣΟΒΟΥ,37.9904146,23.7353104
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60296,87,11,ΠΑΛ. ΑΓΟΡΑ,37.9784672,23.7160909
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60060,77,11,ΠΛ. ΕΞΑΡΧΕΙΩΝ,37.9873577,23.7345926
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,60620,56,11,ΠΕΔΙΟΝ ΑΡΕΩΣ,37.9915954,23.7331268
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,1,61382,57,12,ΠΟΛΥΤΕΧΝΕΙΟ,37.9872484,23.730129
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60297,88,12,ΑΣΩΜΑΤΩΝ,37.9798943,23.7187806
035-ΑΝΩΚΥΨΕΛΗ-ΠΕΤΡΑΛΩΝΑ-ΤΑΥΡΟΣ,2,2,60362,89,13,ΑΓ. ΑΣΩΜΑΤΟΙ,37.9782765,23.7206542
