stop_id;stop_descr;stop_street;stop_url;stop_code
061120;ΓΕΦΥΡΕΣ;ΗΟΥΣ;http://telematics.oasa.gr/#stationInfo_61120;61120
061121;ΑΡΙΣΤΟΒΟΥΛΟΥ;ΗΟΥΣ;http://telematics.oasa.gr/#stationInfo_61121;61121
061122;ΑΓ. ΑΙΚΑΤΕΡΙΝΗ;ΗΟΥΣ;http://telematics.oasa.gr/#stationInfo_61122;61122
061123;ΜΠΡΑΒΟ;ΗΟΥΣ;http://telematics.oasa.gr/#stationInfo_61123;61123
061127;ΠΑΙΔΙΚΗ ΧΑΡΑ;ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΥ;http://telematics.oasa.gr/#stationInfo_61127;61127
061132;ΓΕΩΡΓΟΥΛΙΑ;ΣΙΒΟΡΩΝ;http://telematics.oasa.gr/#stationInfo_61132;61132
061136;ΚΟΝΩΝΟΣ;ΥΜΗΤΤΟΥ;http://telematics.oasa.gr/#stationInfo_61136;61136
061139;ΠΥΡΡΑΣ;ΠΥΡΡΑΣ;http://telematics.oasa.gr/#stationInfo_61139;61139
061151;1η ΡΙΖΑΡΗ;ΡΙΖΑΡΗ;http://telematics.oasa.gr/#stationInfo_61151;61151
061159;ΑΝΔΡΕΑΔΟΥ;ΒΙΚΕΛΑ;http://telematics.oasa.gr/#stationInfo_61159;61159
061163;ΑΓ. ΣΠΥΡΙΔΩΝ;ΕΡΑΤΟΣΘΕΝΟΥΣ;http://telematics.oasa.gr/#stationInfo_61163;61163
061183;ΠΑΛΑΙΟ ΤΕΡΜΑ;ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ;http://telematics.oasa.gr/#stationInfo_61183;61183
061196;ΣΧΟΛΕΙΑ;ΚΟΥΡΤΙΔΟΥ;http://telematics.oasa.gr/#stationInfo_61196;61196
061225;ΤΑΥΓΕΤΟΥ;ΚΕΑΣ;http://telematics.oasa.gr/#stationInfo_61225;61225
061313;ΠΛ.ΠΑΓΚΡΑΤΙΟΥ;ΥΜΗΤΤΟΥ;http://telematics.oasa.gr/#stationInfo_61313;61313
061319;ΣΤ. ΠΑΝΟΡΜΟΥ;ΠΑΝΟΡΜΟΥ;http://telematics.oasa.gr/#stationInfo_61319;61319
061345;ΙΚΑ;ΑΛΚΜΗΝΗΣ;http://telematics.oasa.gr/#stationInfo_61345;61345
061592;ΠΟΛΥΤΕΧΝΕΙΟ;ΣΤΟΥΡΝΑΡΗ;http://telematics.oasa.gr/#stationInfo_61592;61592
061606;ΠΑΡΚΟ ΕΥΕΛΠΙΔΩΝ;ΕΥΕΛΠΙΔΩΝ;http://telematics.oasa.gr/#stationInfo_61606;61606
070015;ΑΓ. ΓΕΩΡΓΙΟΣ;ΙΕΡΑΣ ΟΔΟΥ;http://telematics.oasa.gr/#stationInfo_70015;70015
070075;ΜΠΟΤΣΑΡΗ;ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ;http://telematics.oasa.gr/#stationInfo_70075;70075
070076;ΑΛΑΤΣΑΤΩΝ;ΑΛ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ;http://telematics.oasa.gr/#stationInfo_70076;70076
070088;ΑΓ.ΓΕΩΡΓΙΟΣ;ΠΡΟΥΣΣΗΣ;http://telematics.oasa.gr/#stationInfo_70088;70088
070138;ΠΛΑΣΤΗΡΑ;ΝΙΚ.ΠΛΑΣΤΗΡΑ;http://telematics.oasa.gr/#stationInfo_70138;70138
090075;ΕΜΠ. ΚΕΝΤΡΟ;ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΥ;http://telematics.oasa.gr/#stationInfo_90075;90075
090167;INTERAMERICAN;ΑΓ.ΚΩΝΣΤΑΝΤΙΝΟΥ;http://telematics.oasa.gr/#stationInfo_90167;90167
100181;ΠΑΝΟΡΑΜΑ;ΔΙΑΝΘΟΥ(ΜΟΡΝΟΥ);http://telematics.oasa.gr/#stationInfo_100181;100181
100186;ΚΑΡΑΙΣΚΑΚΗ;ΔΙΑΝΘΟΥ(ΜΟΡΝΟΥ);http://telematics.oasa.gr/#stationInfo_100186;100186
110036;4η ΑΡΓΥΡΟΥΠΟΛΕΩΣ;ΓΕΡΟΥΛΑΝΟΥ;http://telematics.oasa.gr/#stationInfo_110036;110036
110045;ΠΛ. ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ;ΓΕΡΟΥΛΑΝΟΥ;http://telematics.oasa.gr/#stationInfo_110045;110045
110055;ΦΑΡΜΑΚΕΙΟ;ΓΕΩΓ.ΠΑΠΑΝΔΡΕΟΥ;http://telematics.oasa.gr/#stationInfo_110055;110055
120031;ΟΤΕ;ΛΕΩΦ.ΔΗΜΟΚΡΑΤΙΑΣ;http://telematics.oasa.gr/#stationInfo_120031;120031
130028;4η ΠΑΡΝΗΘΟΣ;ΠΑΡΝΗΘΟΣ;http://telematics.oasa.gr/#stationInfo_130028;130028
130081;10η ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ;ΘΡΑΚΟΜΑΚΕΔΟΝΩΝ;http://telematics.oasa.gr/#stationInfo_130081;130081
140003;ΑΓΟΡΑ ΒΥΡΩΝΑ;ΛΕΩΦ.ΚΥΠΡΟΥ;http://telematics.oasa.gr/#stationInfo_140003;140003
140006;ΙΚΑ;ΚΑΡΑΟΛΗ ΚΑΙ ΔΗΜΗΤΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_140006;140006
140025;ΔΗΜΑΡΧΕΙΟ;ΛΕΩΦ.ΧΡ.ΣΜΥΡΝΗΣ;http://telematics.oasa.gr/#stationInfo_140025;140025
140026;ΝΕΟ ΠΑΓΚΡΑΤΙ;ΝΙΚ.ΝΙΚΗΦΟΡΙΔΗ;http://telematics.oasa.gr/#stationInfo_140026;140026
140030;ΦΟΥΡΝΟΣ;ΚΟΛΟΚΟΤΡΩΝΗ;http://telematics.oasa.gr/#stationInfo_140030;140030
140046;ΒΟΥΤΖΑ;ΝΕΑΣ ΕΛΒΕΤΙΑΣ;http://telematics.oasa.gr/#stationInfo_140046;140046
140047;ΠΑΛΑΙΟ ΤΕΡΜΑ;ΤΜΩΛΟΥ;http://telematics.oasa.gr/#stationInfo_140047;140047
140068;ΒΟΥΤΖΑ;ΒΟΥΤΖΑ;http://telematics.oasa.gr/#stationInfo_140068;140068
140071;ΠΛ.ΣΜΥΡΝΗΣ;ΠΛ.ΣΜΥΡΝΗΣ;http://telematics.oasa.gr/#stationInfo_140071;140071
160002;ΤΡΑΠΕΖΑ;ΓΡ.ΛΑΜΠΡΑΚΗ;http://telematics.oasa.gr/#stationInfo_160002;160002
160242;ΣΧΟΛΕΙΟ;ΑΓ.ΝΕΚΤΑΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_160242;160242
160243;ΣΧΟΛΕΙΟ;ΑΓ.ΝΕΚΤΑΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_160243;160243
160321;ΤΑΤΑΚΗ;ΓΡ.ΛΑΜΠΡΑΚΗ;http://telematics.oasa.gr/#stationInfo_160321;160321
160363;ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ;ΑΓ.ΝΕΚΤΑΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_160363;160363
160364;ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ;ΑΓ.ΝΕΚΤΑΡΙΟΥ;http://telematics.oasa.gr/#stationInfo_160364;160364
170051;ΠΑΠΑΝΑΣΤΑΣΙΟΥ;ΛΕΩΦ.ΠΑΠΑΝΑΣΤΑΣΙΟΥ;http://telematics.oasa.gr/#stationInfo_170051;170051
180032;ΑΝΑΛΗΨΕΩΣ;ΚΩΣΤΗ ΠΑΛΑΜΑ;http://telematics.oasa.gr/#stationInfo_180032;180032
180048;ΦΑΡΜΑΚΕΙΟ;ΡΗΓΑ ΦΕΡΑΙΟΥ;http://telematics.oasa.gr/#stationInfo_180048;180048
200001;ΕΥΔΑΠ;ΙΛΙΣΙΩΝ;http://telematics.oasa.gr/#stationInfo_200001;200001
200004;ΑΝΟΙΞΗ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200004;200004
200005;ΚΟΤΟΠΟΥΛΗ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200005;200005
200006;ΤΣΙΤΟΥΡΑ;ΛΕΩΦ.ΣΤΡ\ΧΟΥ ΠΑΠΑΓΟΥ;http://telematics.oasa.gr/#stationInfo_200006;200006
200010;9η ΖΩΓΡΑΦΟΥ;ΚΟΥΣΙΔΟΥ;http://telematics.oasa.gr/#stationInfo_200010;200010
200011;10η ΖΩΓΡΑΦΟΥ;ΚΟΥΣΙΔΟΥ;http://telematics.oasa.gr/#stationInfo_200011;200011
