stop_id,stop_encoding,stop_descr,stop_desr_matrix,stop_street,dimos,perioxi,stop_code,stop_url
10054,3565.0,ΣΤΕΦ. ΣΑΡΑΦΗ,STEF. SARAFH,ΣΤΕΦ.ΣΑΡΑΦΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10054,http://telematics.oasa.gr/#stationInfo_10054
10056,4904.0,ΓΕΦΥΡΑ,GEFYRA,ΣΤΕΦ.ΣΑΡΑΦΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10056,http://telematics.oasa.gr/#stationInfo_10056
10057,4913.0,ΚΥΠΡΟΥ,KYPROY,ΚΥΠΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10057,http://telematics.oasa.gr/#stationInfo_10057
10058,3564.0,ΑΣΤΥΝΟΜΙΑ,ASTYNOMIA,ΣΤΕΦ.ΣΑΡΑΦΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10058,http://telematics.oasa.gr/#stationInfo_10058
10060,3574.0,ΑΣΤΟΡΙΑ,ASTORIA,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10060,http://telematics.oasa.gr/#stationInfo_10060
10062,3580.0,ΛΥΚΟΥΡΓΟΥ,LYKOYRGOY,ΛΥΚΟΥΡΓΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10062,http://telematics.oasa.gr/#stationInfo_10062
10065,3572.0,ΜΕΓ. ΑΛΕΞΑΝΔΡΟΥ,MEG. ALEXANDROY,ΛΕΩΦ.ΜΕΓ.ΑΛΕΞΑΝΔΡΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10065,http://telematics.oasa.gr/#stationInfo_10065
10066,3577.0,ΔΙΑΚΟΥ,DIAKOY,ΠΑΠΑΔΙΑΜΑΝΤΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10066,http://telematics.oasa.gr/#stationInfo_10066
10067,3579.0,ΧΙΟΥ,XIOY,ΧΙΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10067,http://telematics.oasa.gr/#stationInfo_10067
10069,4903.0,ΚΟΥΝΤΟΥΡΙΩΤΗ,KOYNTOYRIOTH,ΣΤΕΦ.ΣΑΡΑΦΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10069,http://telematics.oasa.gr/#stationInfo_10069
10070,3578.0,ΠΡΟΦ. ΗΛΙΑΣ,PROF. HLIAS,ΠΑΠΑΔΙΑΜΑΝΤΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10070,http://telematics.oasa.gr/#stationInfo_10070
10071,4914.0,ΧΙΟΥ,XIOY,ΟΔΥΣΣΕΩΣ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10071,http://telematics.oasa.gr/#stationInfo_10071
10072,3567.0,ΠΡΟΦ. ΗΛΙΑΣ,PROF. HLIAS,ΠΑΛ.ΠΑΤΡΩΝ ΓΕΡΜΑΝΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10072,http://telematics.oasa.gr/#stationInfo_10072
10074,3566.0,ΣΩΚΡΑΤΟΥΣ,SOKRATOYS,ΔΕΛΗΓΙΑΝΝΗ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10074,http://telematics.oasa.gr/#stationInfo_10074
10075,3568.0,ΑΘ. ΔΙΑΚΟΥ,ATH. DIAKOY,ΖΩΟΔΟΧΟΥ ΠΗΓΗΣ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10075,http://telematics.oasa.gr/#stationInfo_10075
10078,3082.0,ΠΑΡΚΟ ΕΛΕΝΗΣ ΦΩΚΑ,PARKO ELENHS FOKA,ΧΑΝΙΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10078,http://telematics.oasa.gr/#stationInfo_10078
10079,3261.0,7η ΚΟΡΥΔΑΛΛΟΥ,7th KORYDALLOY,ΧΑΝΙΩΝ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10079,http://telematics.oasa.gr/#stationInfo_10079
10080,,ΑΦΕΤΗΡΙΑ,AFETHRIA,ΝΕΣΤΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10080,http://telematics.oasa.gr/#stationInfo_10080
10081,3563.0,ΚΡΗΤΗ,KRHTH,ΚΡΗΤΗΣ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10081,http://telematics.oasa.gr/#stationInfo_10081
10084,,ΑΦΕΤΗΡΙΑ 830,AFETHRIA 830,ΝΕΣΤΟΥ,ΑΙΓΑΛΕΩ,Δ.  ΑΙΓΑΛΕΩ,10084,http://telematics.oasa.gr/#stationInfo_10084
10085,3192.0,ΣΤ. ΑΓ. ΜΑΡΙΝΑ,ST. AG. MARINA,ΙΕΡΑΣ ΟΔΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10085,http://telematics.oasa.gr/#stationInfo_10085
10086,3083.0,ΑΦΕΤΗΡΙΑ,AFETHRIA,ΣΙΦΝΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10086,http://telematics.oasa.gr/#stationInfo_10086
10087,4906.0,ΚΥΠΡΟΥ,KYPROY,ΧΙΟΥ,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,Δ.  ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,10087,http://telematics.oasa.gr/#stationInfo_10087
1,1344.0,ΚΑΙΣΑΡΙΑΝΗ,KAISARIANH,,ΚΑΙΣΑΡΙΑΝΗΣ,Δ.  ΚΑΙΣΑΡΙΑΝΗΣ,10152,http://telematics.oasa.gr/#stationInfo_10152
2,1358.0,ΤΕΡΜΑ ΕΛ. ΒΕΝΙΖΕΛΟΥ,TERMA EL. BENIZELOY,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10153,http://telematics.oasa.gr/#stationInfo_10153
Α1,,# Α/Σ ΒΟΤΑΝΙΚΟΥ,A/S BOTANIKOY,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10155,http://telematics.oasa.gr/#stationInfo_10155
3,3752.0,ΕΛΕΥΣΙΝΑΣ,ELEYSINAS,,ΕΛΕΥΣΙΝΑΣ,Δ. ΕΝ.  ΕΛΕΥΣΙΝΟΣ,10156,http://telematics.oasa.gr/#stationInfo_10156
4,5509.0,ΠΛ. ΚΟΥΜΟΥΝΔΟΥΡΟΥ,PL. KOYMOYNDOYROY,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10157,http://telematics.oasa.gr/#stationInfo_10157
5,102.0,ΠΛ. ΚΥΨΕΛΗΣ,PL. KYPSELHS,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10158,http://telematics.oasa.gr/#stationInfo_10158
6,126.0,ΣΤ. ΚΑΤΕΧΑΚΗ,ST. KATEXAKH,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10159,http://telematics.oasa.gr/#stationInfo_10159
7,2946.0,ΑΓ. ΦΑΝΟΥΡΙΟΣ,AG. FANOYRIOS,,ΙΛΙΟΥ,Δ.  ΙΛΙΟΥ (ΝΕΩΝ ΛΙΟΣΙΩΝ),10160,http://telematics.oasa.gr/#stationInfo_10160
8,1128.0,Ζ. ΠΗΓΗ,Z. PHGH,,ΒΥΡΩΝΟΣ,Δ.  ΒΥΡΩΝΟΣ,10161,http://telematics.oasa.gr/#stationInfo_10161
9,241.0,ΣΤ. ΥΠΕΡΑΣΤΙΚΩΝ ΛΕΩΦΟΡΕΙΩΝ ΚΗΦΙΣΟΥ,ST. YPERASTIKON LEOFOREION KHFISOY,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10162,http://telematics.oasa.gr/#stationInfo_10162
10,,ΑΕΡΟΛΙΜΕΝΑΣ,AEROLIMENAS,,ΣΠΑΤΩΝ - ΑΡΤΕΜΙΔΟΣ,Δ. ΕΝ.  ΣΠΑΤΩΝ - ΛΟΥΤΣΑΣ,10163,http://telematics.oasa.gr/#stationInfo_10163
11,,ΑΣΠΡΟΠΥΡΓΟΣ,ASPROPYRGOS,,ΑΣΠΡΟΠΥΡΓΟΥ,Δ.  ΑΣΠΡΟΠΥΡΓΟΥ,10164,http://telematics.oasa.gr/#stationInfo_10164
12,3345.0,ΑΒΕΡΩΦ,ABEROF,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10165,http://telematics.oasa.gr/#stationInfo_10165
13,3369.0,ΠΡΟΥΣΣΗΣ,PROUSSHS,,ΑΙΓΑΛΕΩ,Δ.  ΑΙΓΑΛΕΩ,10166,http://telematics.oasa.gr/#stationInfo_10166
14,,ΜΑΝΔΡΑ,MANDRA,,ΜΑΝΔΡΑΣ - ΕΙΔΥΛΛΙΑΣ,Δ. ΕΝ.  ΜΑΝΔΡΑΣ,10167,http://telematics.oasa.gr/#stationInfo_10167
Α2,,#Α/Σ ΑΝΩ ΛΙΟΣΙΩΝ,A/S ANO LIOSION,,ΦΥΛΗΣ,Δ. ΕΝ.  ΑΝΩ ΛΙΟΣΙΩΝ,10168,http://telematics.oasa.gr/#stationInfo_10168
Α4,,# Α/Σ ΠΕΤΡΟΥ ΡΑΛΛΗ,A/S PETROY RALLH,,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,Δ. ΕΝ.  ΤΑΥΡΟΥ,10169,http://telematics.oasa.gr/#stationInfo_10169
Α3,,# Α/Σ ΡΟΥΦ,A/S ROYF,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10170,http://telematics.oasa.gr/#stationInfo_10170
15,4921.0,ΟΜΟΝΟΙΑ ΖΗΝΩΝΟΣ,OMONOIA ZHNONOS,ΖΗΝΩΝΟΣ,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10171,http://telematics.oasa.gr/#stationInfo_10171
16,,ΡΟΥΠΑΚΙ,ROYPAKI,,ΑΣΠΡΟΠΥΡΓΟΥ,Δ.  ΑΣΠΡΟΠΥΡΓΟΥ,10172,http://telematics.oasa.gr/#stationInfo_10172
17,,ΒΙΟΜΗΧΑΝΙΚΗ ΖΩΝΗ ΜΑΓΟΥΛΑΣ,BIOMHXANIKH ZONH MAGOYLAS,,ΕΛΕΥΣΙΝΑΣ,Δ. ΕΝ.  ΜΑΓΟΥΛΑΣ,10173,http://telematics.oasa.gr/#stationInfo_10173
3,3752.0,# Α/Σ ΡΕΝΤΗ,A/S RENTH,,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,Δ. ΕΝ.  ΑΓΙΟΥ ΙΩΑΝΝΟΥ ΡΕΝΤΗ,10174,http://telematics.oasa.gr/#stationInfo_10174
18,0.0,ΠΛ. ΚΑΝΙΓΓΟΣ,PL. KANNIGOS,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10175,http://telematics.oasa.gr/#stationInfo_10175
19,5805.0,ΠΛ. ΓΚΥΖΗ,PL. GYZH,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10176,http://telematics.oasa.gr/#stationInfo_10176
20,46.0,ΑΝΩ ΚΥΨΕΛΗ,ANO KYPSELH,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10177,http://telematics.oasa.gr/#stationInfo_10177
21,75.0,ΠΕΤΡΑΛΩΝΑ,PETRALONA,,ΜΟΣΧΑΤΟΥ - ΤΑΥΡΟΥ,Δ. ΕΝ.  ΤΑΥΡΟΥ,10178,http://telematics.oasa.gr/#stationInfo_10178
23,4455.0,ΠΡΟΦΗΤΗ ΔΑΝΙΗΛ,PROFHTH DANIHL,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10180,http://telematics.oasa.gr/#stationInfo_10180
24,4474.0,ΒΟΤΑΝΙΚΟΣ,BOTANIKOS,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10181,http://telematics.oasa.gr/#stationInfo_10181
Α6,,# Α/Σ ΕΛΛΗΝΙΚΟΥ,A/S ELLHNIKOY,,ΕΛΛΗΝΙΚΟΥ - ΑΡΓΥΡΟΥΠΟΛΗΣ,Δ. ΕΝ.  ΕΛΛΗΝΙΚΟΥ,10182,http://telematics.oasa.gr/#stationInfo_10182
630046,3793.0,ΕΤΕΜ,ETEM,ΗΡ.ΠΟΛΥΤΕΧΝΕΙΟΥ,ΕΛΕΥΣΙΝΑΣ,Δ. ΕΝ.  ΜΑΓΟΥΛΑΣ,11523,http://telematics.oasa.gr/#stationInfo_11523
25,127.0,ΠΕΙΡΑΙΑΣ,PEIRAIAS,,ΠΕΙΡΑΙΩΣ,Δ.  ΠΕΙΡΑΙΩΣ,10183,http://telematics.oasa.gr/#stationInfo_10183
26,4489.0,ΟΜΟΝΟΙΑΣ,OMONOIAS,,ΑΘΗΝΑΙΩΝ,Δ.  ΑΘΗΝΑΙΩΝ,10184,http://telematics.oasa.gr/#stationInfo_10184
